NIH Spending Categorization,Project Terms,Project Title,Public Health Relevance,Administering IC,Application ID,Award Notice Date,Opportunity Number,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Program Official Information,Project Start Date,Project End Date,Study Section,Subproject Number,Contact PI Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Congressional District,Department,Primary DUNS,Primary UEI,DUNS Number,UEI,FIPS,Latitude,Longitude,Organization ID (IPF),Organization Name,Organization City,Organization State,Organization Type,Organization Zip,Organization Country,ARRA Indicator,Budget Start Date,Budget End Date,Post Award Action Type,CFDA Code,Funding Mechanism,Fiscal Year,Total Cost,Total Cost(Sub Projects),Funding IC(s),Direct Cost IC,Indirect Cost IC,NIH COVID-19 Response,Total Cost IC
Clinical Research; Cooley's Anemia; Genetics; Health Disparities; Hematology; Minority Health; Orphan Drug; Rare Diseases; Sickle Cell Disease,Binding;CD34 gene;CDK4 gene;CHD4 gene;CRISPR screen;CRISPR-mediated transcriptional activation;Candidate Disease Gene;Cell Cycle;Cell Cycle Proteins;Cell Cycle Regulation;Cell Cycle Stage;Cell Differentiation process;Cell Line;Cell Nucleus;Cells;Clinical;Defect;Development;Disease;Erythrocytes;Erythroid;Erythroid Cells;Erythropoiesis;Fetal Hemoglobin;Fluorescence;Foundations;G0 Phase;G1 Phase;GTP-Binding Protein alpha Subunits Gs;Genes;Genetic;Hematopoietic stem cells;Hemoglobin;Hemoglobinopathies;Human;In Vitro;Knock-out;Knowledge;Lead;Mendelian disorder;Messenger RNA;Methods;Mitosis;Organ;Oxygen;Pathogenicity;Patients;Pharmacology;Phase;Phosphorylation;Population;Process;Production;Proteins;Publishing;Regulation;Research;Role;Screening Result;Sickle Cell Anemia;Speed;System;Testing;Therapeutic;Tissues;Transcription Initiation Site;Ubiquitination;Validation;Work;base;beta Globin;beta Thalassemia;career;deep sequencing;erythroid differentiation;experience;experimental study;gamma Globin;genome-wide;inhibitor;novel;novel therapeutic intervention;novel therapeutics;polymerization;promoter;skills,Reactivation of Gamma Globin Expression in -Hemoglobinopathies,PROJECT NARRATIVE-hemoglobinopathies are diseases of quantitative (-thalassemia) or qualitative (Sickle Cell Disease(SCD)) defects in -globin synthesis. -globin an alternative -like subunit has the ability to inhibitpathogenic -globin polymerization in SCD and can functionally replace -globin in -thalassemia.Determining novel regulators that increase -globin expression may lead to the development of noveltherapeutic strategies for -hemoglobinopathies.,NHLBI,10533403,8/12/2022,PA-21-052,1F31HL162544-01A1,1,F31,HL,162544,1,A1,"HILL-PRYOR, CRYSTAL DARLEANE-ROBIN",9/1/2022,8/31/2024,Special Emphasis Panel[ZRG1 F10C-C (20)], ,14653885,"BALBIN-CUESTA, GINETTE THERESA",Not Applicable,6,INTERNAL MEDICINE/MEDICINE,73133571,GNJ7BBP73WE9,73133571,GNJ7BBP73WE9,US,42.275494,-83.743038,1506502,UNIVERSITY OF MICHIGAN AT ANN ARBOR,ANN ARBOR,MI,SCHOOLS OF MEDICINE,481091276,UNITED STATES,N,9/1/2022,8/31/2023, ,839,"Training, Individual",2022,39112, ,NHLBI,39112,0, ,39112
Cooley's Anemia; Genetics; Hematology; Orphan Drug; Rare Diseases; Sickle Cell Disease; Stem Cell Research; Stem Cell Research - Nonembryonic - Human,Adenovirus Infections;Adult;Adverse effects;Affect;Agonist;Anemia;Binding;Biogenesis;Birth;Blood;Bone Marrow Cells;CD34 gene;Cell Differentiation process;Cell Proliferation;Cells;Characteristics;Clinical;Clinical Research;DNA Binding Domain;Data;Development;Disease;Embryo;Erythrocytes;Erythroid;Erythroid Cells;Erythroid Progenitor Cells;Erythropoiesis;Fetal Hemoglobin;Fetus;Functional disorder;Gene Expression;Genes;Genetic Diseases;Genetic Transcription;Globin;Hematology;Hemoglobin;Hemolysis;Hemolytic Anemia;Hereditary Disease;Histologic;Homologous Gene;Human;In Vitro;Knockout Mice;Laboratory Study;Lead;Lentivirus Infections;Life;Link;Messenger RNA;Methods;Missense Mutation;Mitochondria;Molecular;Molecular Target;Morbidity - disease rate;Mus;Organ;PPAR gamma;Pathology;Pathway interactions;Patients;Persons;Pharmaceutical Preparations;Pharmacology;Polymers;Population;Preclinical Testing;Production;Regulation;Regulator Genes;Repressor Proteins;Research;Severity of illness;Sickle Cell;Sickle Cell Anemia;Sickle Hemoglobin;Structure;Thalassemia;Therapeutic;Therapeutic Effect;Up-Regulation;beta Thalassemia;early phase clinical trial;gamma Globin;gene therapy;global health;heme biosynthesis;hydroxyurea;in utero;in vivo;in vivo evaluation;induced pluripotent stem cell;iron metabolism;loss of function;man;mortality;mouse model;novel;overexpression;polymerization;preclinical study;prevent;progenitor;promoter;sickle vasoocclusion;sickling;small molecule;small molecule therapeutics;standard of care;transcription factor,Targeting PGC-1a for the treatment of sickle cell disease,PROJECT NARRATIVE Sickle cell disease and -thalassemia are the most common inherited disorders in man and affect millionsof people around the world. If it were possible to increase the amount of fetal hemoglobin (HbF) a hemoglobintype found primarily in babies in utero in the blood of patients with both diseases this would ameliorate diseaseseverity and might even help cure these diseases. Our proposed studies targeting a new pathway that wediscovered to induce HbF in human primary erythroid progenitor cells would have the potential to lead to thedevelopment of a novel and safer inducer to therapeutically increase HbF in people with these severe hereditarydiseases.,NHLBI,10519653,6/8/2022,PAS-21-150,1R01HL155451-01A1,1,R01,HL,155451,1,A1,"BAI, C BRIAN BRIAN",7/1/2022,5/31/2025,"Hemostasis, Thrombosis, Blood Cells and Transfusion Study Section[HTBT]", ,10526422,"CUI, SHUAIYING ",Not Applicable,7,Unavailable,5492160,JZ8RQC4EMDZ5,5492160,JZ8RQC4EMDZ5,US,42.336854,-71.070881,3617301,BOSTON MEDICAL CENTER,BOSTON,MA,Independent Hospitals,21182908,UNITED STATES,N,7/1/2022,5/31/2023, ,839,Non-SBIR/STTR,2022,350000, ,NHLBI,200000,150000, ,350000
Biotechnology; Cooley's Anemia; Genetics; Hematology; Orphan Drug; Rare Diseases; Sickle Cell Disease; Stem Cell Research; Stem Cell Research - Nonembryonic - Human; Stem Cell Research - Umbilical Cord Blood/ Placenta; Stem Cell Research - Umbilical Cord Blood/ Placenta - Human; Women's Health,Adult;Animal Model;Animals;BCL11A gene;Basic Science;Binding;Biological Assay;Biological Process;Biology;CRISPR/Cas technology;Cell Culture Techniques;Cells;ChIP-seq;Chromatin;Complement;Core Facility;Cultured Cells;DNA Binding;Data;Dedications;Development;Developmental Gene;Elements;Engraftment;Enhancers;Erythroblasts;Erythrocytes;Erythroid;Erythroid Cells;Fetal Hemoglobin;Fetal Liver;Foundations;GATA1 gene;Gene Expression;Genes;Genetic;Genetic Enhancer Element;Genetic Screening;Genetic Transcription;Globin;Goals;Hematological Disease;Hematopoiesis;Hematopoietic stem cells;Hemoglobin;Hemoglobinopathies;Heterozygote;Histones;Human;In Vitro;Knockout Mice;Knowledge;Measurement;Measures;Mediating;Messenger RNA;Modeling;Molecular;Mus;NuRD complex;Outcome;Patients;Process;Production;Proteins;Regulation;Regulatory Element;Reporter;Reporting;Repression;Role;Sickle Cell Anemia;Solid;TAL1 gene;Thalassemia;Therapeutic;Transcription Repressor;Transcriptional Regulation;Translating;Umbilical Cord Blood;Up-Regulation;Xenograft Model;Yolk Sac;beta Thalassemia;cell type;cofactor;experimental study;fascinate;fetal;follow-up;gain of function;gene therapy;histone modification;improved outcome;in vivo;insight;interest;loss of function;novel;novel therapeutics;offspring;overexpression;posttranscriptional;programs;promoter;transcription factor;transcriptome;transcriptome sequencing,Regulation of Hemoglobin Switching,NarrativeThis application seeks to study the biological functions and mechanism of action of a newly identifiedmolecule called HIC2 that we found to regulate the transition of the fetal to the adult form of hemoglobinsynthesis in red blood cells. Raising fetal hemoglobin in patients with sickle cell disease and some forms ofthalassemia improves outcomes and has been an important therapeutic goal in the field for many years.The proposed studies aim to deepen our knowledge of the hemoglobin switching mechanism withramifications for the treatment of hemoglobinopathies.,NHLBI,10518534,1/30/2023,PA-20-185,2R01HL119479-10,2,R01,HL,119479,10,,"QASBA, PANKAJ ",8/5/2013,1/31/2027,"Basic Biology of Blood, Heart and Vasculature Study Section [BBHV]", ,7256175,"BLOBEL, GERD A",Not Applicable,3,Unavailable,73757627,G7MQPLSUX1L4,73757627,G7MQPLSUX1L4,US,39.946632,-75.196604,1499101,CHILDREN'S HOSP OF PHILADELPHIA,PHILADELPHIA,PA,Independent Hospitals,191462305,UNITED STATES,N,2/1/2023,1/31/2024, ,839,Non-SBIR/STTR,2023,695632, ,NHLBI,447644,247988, ,695632
Biotechnology; Cooley's Anemia; Gene Therapy; Genetics; Hematology; Rare Diseases; Sickle Cell Disease; Stem Cell Research; Stem Cell Research - Nonembryonic - Human; Transplantation,Address;Anemia;Animal Experimentation;Animal Model;Animals;Autologous;B-Lymphocytes;Biological Models;Bone Marrow Transplantation;Busulfan;Capsid;Cells;Clinical;Clinical Trials;Communication;Disease;Disease model;Dose;Drug Kinetics;Engraftment;Enhancers;Erythroid;Fetal Hemoglobin;Formulation;Gene Expression;Gene Transfer;Gene Transfer Techniques;Genes;Globin;HIV;Hematopoiesis;Hematopoietic stem cells;Hemoglobinopathies;Human;Infusion procedures;Insertional Mutagenesis;Intravenous;Journals;Lentivirus Vector;Macaca mulatta;Manuscripts;Marrow;Measures;Methods;Modeling;Monitor;Myelogenous;Myelosuppression;Nature;Oral;Peripheral Blood Stem Cell;Phenotype;Phylogenetic Analysis;Plasmids;Population;Pre-Clinical Model;Preclinical Testing;Production;Publishing;Reagent;Regulatory Element;Reporter;Reporting;Retroviral Vector;Rhesus;Risk;Rodent Model;SIV;Series;Sickle Cell;Sickle Cell Anemia;Single-Gene Defect;Source;T-Lymphocyte;Technology Transfer;Testing;Thalassemia;Transplantation;Viral Vector;Whole-Body Irradiation;Work;absorption;base;beta Globin;beta Thalassemia;cellular transduction;chemotherapeutic agent;clinical application;clinical development;clinical investigation;clinically relevant;conditioning;cross reactivity;dosage;endonuclease;gene transfer vector;genetic manipulation;genetically modified cells;human model;in vivo;in vivo Model;individual patient;integration site;irradiation;lentiviral-mediated;mouse model;neutrophil;nonhuman primate;peripheral blood;pre-clinical;preclinical development;promoter;stem cell genes;stem cells;success;technique development;transgene expression;vector,A preclinical large animal model for globin gene transfer,n/a,NHLBI,10467904, , ,1ZIAHL006008-14,1,ZIA,HL,6008,14,,, , , , ,9694380,"TISDALE, JOHN ",Not Applicable, ,Unavailable, , , , , , , , ,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE", , ,Unavailable, ,UNITED STATES,N, , , , ,Intramural Research,2021,1162073, ,NHLBI, , , ,1162073
Biotechnology; Cooley's Anemia; Gene Therapy; Genetics; Hematology; Orphan Drug; Rare Diseases; Regenerative Medicine; Sickle Cell Disease; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human; Transplantation,Adenoviruses;Aftercare;Ambulatory Care;Blood Cells;Bone Marrow;Bone Marrow Aspiration;Bone Marrow Purging;CD46 Antigen;CRISPR/Cas technology;Capsid;Carmustine;Cell Transplantation;Cells;Clinical;Communicable Diseases;Data;Defect;Developing Countries;Disease model;Dose;Engineering;Erythrocytes;Erythroid Cells;Erythropoietin;Erythropoietin Receptor;Evaluation;Fetal Hemoglobin;Gene Transfer;Genes;Genetic;Globin;Goals;Harvest;Hematological Disease;Hematopoietic Stem Cell Mobilization;Hematopoietic stem cells;Hemoglobinopathies;Hemophilia A;High Dose Chemotherapy;Human;IL1R1 gene;Immunity;Immunologic Deficiency Syndromes;Immunotherapy;In Vitro;Injections;Intravenous;Knock-out;Leukapheresis;Life;Macaca mulatta;Mediating;Methods;Modification;Mus;Mutation;Outcome;Patients;Peripheral;Pharmacology;Phenotype;Price;Primates;Procedures;Process;Prophylactic treatment;Protocols documentation;Regimen;Risk;Safety;Series;Sickle Cell Anemia;Sleeping Beauty;Steroids;System;Technology;Testing;Thalassemia;Time;Toxic effect;Toxicology;Transgenes;Transgenic Mice;Transposase;Viral Vector;Virus;antagonist;base;beta Thalassemia;cellular transduction;cesium chloride;chemotherapy;clinical application;cost;cost effectiveness;curative treatments;cytokine;design;driving force;efficacy study;fetal reactivity;gene therapy;gene transfer vector;genome editing;gutless adenoviral vector;humanized mouse;improved;in vivo;intravenous injection;mouse model;nonhuman primate;patient population;pluripotency;portability;pre-clinical;preclinical study;preference;prevent;repaired;response;side effect;stem cell gene therapy;stem cell genes;thalassemia intermedia;therapeutic transgene;trait;transgene expression;vector,In Vivo Hematopoietic Stem Cell Gene Therapy of Beta-Thalassemia and Sickle Cell Disease,We have previously shown in mice and non-human primates that it possible to transducehematopoietic stem cells in vivo and achieve therapeutic transgene expression levels that wouldbe curative in patients with thalassemia or Sickle Cell Anemia. Here we propose to further de-risk and simplify our in vivo approach. Our ultimate goal is to deliver an off-the-shelf HSC genetherapy product to patients around the globe.,NHLBI,10456765,8/18/2022,PA-20-185,5R01HL130040-06,5,R01,HL,130040,6,,"QASBA, PANKAJ ",6/1/2016,7/31/2025,Gene and Drug Delivery Systems Study Section[GDD], ,2288872,"LIEBER, ANDRE MICHAEL",Not Applicable,7,INTERNAL MEDICINE/MEDICINE,605799469,HD1WMN6945W6,605799469,HD1WMN6945W6,US,47.660307,-122.315168,9087701,UNIVERSITY OF WASHINGTON,SEATTLE,WA,SCHOOLS OF MEDICINE,981959472,UNITED STATES,N,8/1/2022,7/31/2023, ,839,Non-SBIR/STTR,2022,657943, ,NHLBI,409924,248019, ,657943
Bioengineering; Cardiovascular; Chronic Liver Disease and Cirrhosis; Cooley's Anemia; Digestive Diseases; Hematology; Liver Disease; Nanotechnology; Orphan Drug; Rare Diseases; Sickle Cell Disease,Acute;Address;Adverse effects;Affect;Agranulocytosis;Anemia;Animal Model;Animals;Area;Arthralgia;Arthritis;Auditory;Bile fluid;Biliary;Biodistribution;Biological Availability;Biological Markers;Bladder;Blood Circulation;Blood Transfusion;Caucasians;Chelating Agents;Chronic;Clinical;Complex;Contrast Media;Deferoxamine;Diabetes Mellitus;Disease;Dose;Drug Kinetics;Drug or chemical Tissue Distribution;Dysmyelopoietic Syndromes;Engineering;Excision;Excretory function;Family suidae;Feces;Ferritin;Gallbladder;Gastrointestinal Hemorrhage;Genetic;Genetic Diseases;Harvest;Healthcare;Heart failure;Heavy Metals;Hematopoietic;Hemoglobinopathies;Hepatotoxicity;Hereditary hemochromatosis;Hydrogels;Hypotension;Image;Impairment;Implant;Injections;Iron;Iron Chelating Agents;Iron Chelation;Iron Overload;Kidney;Kidney Failure;Kinetics;Life;Liver;Liver Cirrhosis;Liver Fibrosis;Lysine;Mediating;Metabolism;Metals;Methods;Modeling;Monitor;Mus;Musculoskeletal;Nanotechnology;Neurodegenerative Disorders;Neutropenia;Nutrient;Nutritional;Organ;Outcome;Oxidative Stress;Pathway interactions;Patients;Pharmacodynamics;Physiological;Physiology;Plasma;Poison;Population;Rattus;Reporting;Risk;Risk Factors;Rodent;Safety;Sickle Cell Anemia;Site;Surface;Surface Properties;Systemic Therapy;Tachycardia;Testing;Thalassemia;Therapeutic;Time;Tissues;Toxic effect;Toxicity Tests;Transgenic Animals;Travel;Treatment Efficacy;Urine;Venous blood sampling;absorption;base;biomaterial compatibility;carboxylate;chelation;clinically relevant;cohort;design;drug of abuse;flexibility;heart damage;heart function;improved;in vivo;iron chelation therapy;nanoparticle;nephrotoxicity;novel therapeutic intervention;pharmacokinetics and pharmacodynamics;predictive modeling;response;risk benefit ratio;side effect;targeted delivery;targeted imaging;urinary,Nanochelation Therapies for Iron Overload Disorders,PROJECT NARRATIVEIron overload disorders including hereditary hemochromatosis and transfusional iron overload (e.g.thalassemia and sickle cell anemia) affect tens of million people worldwide and promote a variety of diseaseconditions including heart failure liver cirrhosis arthritis diabetes and neurodegenerative diseases.Phlebotomy and chelators are clinically treated to ameliorate iron-associated complications but their significantside effects with decreased therapeutic efficacy during necessary chronic administration have raised hugehealthcare issues. In this study we report a new class of nanoparticle-based iron chelation therapies forsystemic elimination of excessive iron while monitoring biodistribution and body iron status as well as organfunction biomarkers that have the potential to revolutionize therapeutic approaches for iron overload-associated disorders.,NHLBI,10437625,8/17/2021,PA-16-160,5R01HL143020-05,5,R01,HL,143020,5,,"RIZWAN, ASIF M",1/1/2021,8/31/2023,Therapeutic Approaches to Genetic Diseases Study Section[TAG], ,9785965,"KIM, JONGHAN ","CHOI, HAK SOO ",3,OTHER BASIC SCIENCES,956072490,LTNVSTJ3R6D5,956072490,LTNVSTJ3R6D5,US,42.649298,-71.315847,850905,UNIVERSITY OF MASSACHUSETTS LOWELL,LOWELL,MA,SCH ALLIED HEALTH PROFESSIONS,18543643,UNITED STATES,N,9/1/2021,8/31/2023, ,839,Non-SBIR/STTR,2021,543043, ,NHLBI,445768,97275, ,543043
Clinical Research; Clinical Trials and Supportive Activities; Cooley's Anemia; Hematology; Orphan Drug; Rare Diseases; Sickle Cell Disease; Stem Cell Research; Stem Cell Research - Nonembryonic - Human,Adult;Amino Acids;Benign;Benserazide;Bilirubin;Biological Assay;Canada;Cells;Chemicals;Chronic;Clinical;Clinical Trials;Development;Disease;Dose;Drug Kinetics;Erythrocytes;Erythroid;Europe;Fetal Development;Fetal Hemoglobin;Genes;Genetic;HDAC3 gene;Half-Life;Hematocrit procedure;Hematological Disease;Hemoglobin;Hemoglobin A;Hemoglobinopathies;Hemolysis;Hemolytic Anemia;Human;Libraries;Medical;Medicine;Modality;Molecular;Oral;Oral Medicine;Organ;Papio;Parkinson Disease;Pathology;Patients;Pharmaceutical Preparations;Pharmacology;Primates;Production;Research;Reticulocytes;Safety;Severities;Sickle Cell;Sickle Cell Anemia;Structure;Tablets;Therapeutic;Transgenic Mice;beta Thalassemia;cohort;decarboxylase inhibitor;fetal;gamma Globin;global health;high throughput screening;infancy;molecular targeted therapies;mortality;nonhuman primate;progenitor;promoter;small molecule;stem cells;thalassemia intermedia,Development of a Clinical Hemoglobin Modulator,This proposal will evaluate a repurposed therapeutic for a previously unrecognized and potentaction of stimulating production of fetal hemoglobin a way to treat the serious blood diseasessickle cell disease and beta thalassemia a global health burden. This drug is approved in theEU in a combination tablet solely to prolong the half-life of another medicine is considered safeand stimulates very high fetal globin production > 30-fold over baseline in anemic primates andtransgenic mice. The small molecule oral therapeutic has high potency and abolishessuppresses and displaces 4 repressors of the fetal globin gene. This trial will evaluate differentdoses of the therapeutic for tolerability and for inducing activity in beta thalassemia and sicklecell patients which if successful will facilitate definitive clinical trials of a safe oral medicine inserious blood diseases.,NHLBI,10428368,6/6/2022,PAR-18-684,5R33HL147845-03,5,R33,HL,147845,3,,"FRANK, DANIEL J.",6/1/2020,5/31/2024,ZHL1-CSR-H(F1), ,1860251,"PERRINE, SUSAN PARK","FALLER, DOUGLAS V;KUO, KEVIN ;SINGER, SYLVIA T",5,Unavailable,808428689,NPAHDFK9M323,808428689,NPAHDFK9M323,US,42.327669,-71.318882,10017978,"PHOENICIA BIOSCIENCES, INC.",WESTON,MA,Domestic For-Profits,24931017,UNITED STATES,N,6/1/2022,5/31/2024, ,839,Non-SBIR/STTR,2022,1630002, ,NHLBI,1422939,207063, ,1630002
Cooley's Anemia; Genetics; Hematology; Orphan Drug; Rare Diseases; Sickle Cell Disease,Address;Adult;Affect;Africa;Asia;Automobile Driving;Binding;Cell Line;Cells;Chromatin;Clinical;Complex;Country;DNA;Development;Disease;Distal;Down-Regulation;Erythrocytes;Erythroid Cells;Event;Failure;Fetal Hemoglobin;Formulation;Foundations;Gene Expression;Gene Silencing;Generations;Genetic;Genetic Transcription;Globin;Goals;Hemoglobin;Hereditary Disease;Homebound Persons;Human Genetics;Individual;Knock-out;Knowledge;Laboratories;Life;Mediating;Methods;Modeling;Molecular;Molecular Analysis;Motivation;Mutation;NuRD complex;Oxygen;Patients;Personal Satisfaction;Pharmaceutical Preparations;Pharmacology;Play;Process;Proteins;Repression;Resources;Role;Sickle Cell Anemia;Site;Structure;System;Testing;Therapeutic;Transcription Repressor;Work;base;beta Thalassemia;clinical phenotype;design;experimental study;fetal;gamma Globin;global health;mutant;novel;novel therapeutic intervention;novel therapeutics;promoter;protein degradation;recruit;response;small molecule;transcription factor,Molecular Analysis of Normal and Thalassemic DNA,PROJECT NARRATIVE (PUBLIC)Red cell cells produce hemoglobin the principal oxygen carrying protein in our entire body. Inheriteddisorders that affect the synthesis or structure of adult hemoglobin called b-thalassemia and sickle celldisease are common throughout the world and particularly in resource-poor countries in Africa and Asia.These disorders adversely affect well-being and survival of affected individuals and together constitute amajor global health challenge. Our work focuses on the control of expression of the fetal-type hemoglobin(HbF) which is expressed during fetal life and largely silent in the adult. A unique protein BCL11A silencesexpression of HbF and serves as a critical molecular switch. The goal of the project is to determine in detailhow BCL11A silences HbF as this knowledge forms the foundation for discovery of new drugs to reactivateHbF in patients with the major hemoglobin disorders.,NHLBI,10400176,5/13/2022,PA-18-484,5R01HL032259-39,5,R01,HL,32259,39,,"QASBA, PANKAJ ",4/1/1982,4/30/2024,Molecular and Cellular Hematology Study Section[MCH], ,1862884,"ORKIN, STUART H",Not Applicable,7,Unavailable,76593722,Z1L9F1MM1RY3,76593722,Z1L9F1MM1RY3,US,42.337481,-71.104964,1504801,BOSTON CHILDREN'S HOSPITAL,BOSTON,MA,Independent Hospitals,21155724,UNITED STATES,N,5/1/2022,4/30/2024, ,839,Non-SBIR/STTR,2022,442500, ,NHLBI,250000,192500, ,442500
Cooley's Anemia; Genetics; Hematology; Orphan Drug; Pediatric; Rare Diseases; Sickle Cell Disease,Address;Adult;Affect;Animal Model;Animals;Basic Science;Behavioral;Benign;Biochemical Genetics;Biochemistry;Biological;Biological Assay;Birth;CHD4 gene;Cardiac;Cells;Cessation of life;Chromatin;Chronic;Clinical;Clinical Research;Clinical Trials;Collaborations;Complex;Cooley&apos;s anemia;Coupled;DNA Binding;DNA-Binding Proteins;Data;Development;Disease;Drug Design;Drug Targeting;Enzyme Inhibition;Enzyme Inhibitor Drugs;Enzymes;Epigenetic Process;Erythrocytes;Erythroid Progenitor Cells;Excision;Exhibits;FDA approved;Failure;Fetal Hemoglobin;Functional disorder;Generations;Genes;Genetic Transcription;Globin;Goals;Hemoglobinopathies;Human;In Vitro;Individual;Infant;Intervention;KDM1A gene;Life;Michigan;Modeling;Modification;Molecular;Molecular Target;Morbidity - disease rate;Mus;Oral;Papio;Pathway interactions;Patients;Persons;Pharmaceutical Chemistry;Pharmaceutical Preparations;Pharmacology;Physiological;Primates;Proteins;Proteomics;Regulation;Repression;Repressor Proteins;Research;Research Personnel;SMARCA5 gene;Safety;Sickle Cell Anemia;Sickle Cell Trait;Sickle Hemoglobin;Stroke;Structure;Testing;Therapeutic;Therapeutic Intervention;Tissue Model;Translations;Universities;Validation;acute chest syndrome;base;beta Globin;combinatorial;design;effective therapy;experience;fetal;follow-up;gamma Globin;gene repression;genetic corepressor;hydroxyurea;improved;in vivo;inhibitor;mortality;multiorgan damage;mutant;novel;patient subsets;polymerization;postnatal;pre-clinical;preclinical study;predictive modeling;protein complex;research study;response;side effect;structural biology;synergism;targeted treatment;tissue culture,Identification of novel y-globin corepressors and advanced inhibitor development,n/a,NHLBI,10400174,5/25/2022,PAR-18-405,5P01HL146372-04,5,P01,HL,146372,4,,"QASBA, PANKAJ ",8/1/2019,4/30/2024,"Heart, Lung, and Blood Program Project Study Section[HLBP]",8170,6613095,"ENGEL, JAMES DOUGLAS",Not Applicable,6,Unavailable,73133571,GNJ7BBP73WE9,73133571,GNJ7BBP73WE9,US,42.275494,-83.743038,1506502,UNIVERSITY OF MICHIGAN AT ANN ARBOR,ANN ARBOR,MI,Domestic Higher Education,481091276,UNITED STATES,N,5/1/2022,4/30/2023, , ,Non-SBIR/STTR,2022, ,471562, ,422100,49462, , 
Biotechnology; Clinical Research; Cooley's Anemia; Gene Therapy; Genetics; Hematology; Orphan Drug; Rare Diseases; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Human; Transplantation,Address;Adult;Affect;Alleles;Binding;Biological Assay;Birth;Blood Transfusion;CRISPR screen;Caring;Cell Differentiation process;Cell Transplantation;Cells;Chronic;Chronic Disease;Clinic;Clinical;Clinical Data;Clinical Trials;Clustered Regularly Interspaced Short Palindromic Repeats;Data;Disease;Dissociation;Embryo;Ensure;Erythrocytes;Erythroid;Erythropoiesis;First Pregnancy Trimester;Frequencies;Gene Mutation;Genes;Globin;Grant;Guide RNA;Health;Hematopoietic;Hematopoietic Stem Cell Transplantation;Hematopoietic stem cells;Hemoglobin;Hemoglobin H;Hemoglobinopathies;High Pressure Liquid Chromatography;Human;Immigration;Immunodeficient Mouse;In Vitro;Initiator Codon;International;Intrauterine Blood Transfusion;Length;Lentivirus Vector;Mediating;Medical;Mendelian disorder;Morbidity - disease rate;Mus;Mutate;Neurological outcome;Nucleic Acid Regulatory Sequences;Outcome;Oxygen;PTPRC gene;Patients;Pattern;Phase I/II Clinical Trial;Production;Proteins;Regimen;Registries;Repression;Safety;Scheme;Severity of illness;Site;Specificity;Stem cell transplant;Testing;Toxic effect;Transfusion;Transgenes;Transplantation;Work;alpha Globin;alpha thalassemia major;alpha-Thalassemia;base;beta Globin;beta Thalassemia;design;experimental study;fetal;first-in-human;gamma Globin;gene replacement;gene therapy;genome editing;hematopoietic stem cell differentiation;improved;in utero;in vivo;innovation;insertion/deletion mutation;iron chelation therapy;postnatal;pre-clinical;reconstitution;repaired;restoration;southeast Asian;treatment strategy;vector;zeta Globin,Developing gene therapy strategies to treat alpha thalassemia,Project NarrativeAlpha thalassemia (AT) is a disease that affects hemoglobin production; while patients with severe forms of ATrequire chronic transfusions or a stem cell transplant there are currently no gene therapy strategies for themindicating a major unmet medical need. In this proposal we will design and test three complementary genetherapy or editing strategies that will either result in restoration of alpha globin production or persistence ofembryonic zeta globin production. At the end of these experiments we expect to have generated substantialpre-clinical data that may be developed into an IND with the FDA for an innovative first-in-human phase I/IIclinical trial for ex vivo correction of HSCs from patients with AT.,NHLBI,10345618,12/31/2021,PA-20-185,1R01HL161291-01,1,R01,HL,161291,1,,"QASBA, PANKAJ ",1/1/2022,12/31/2025,Gene and Drug Delivery Systems Study Section[GDD], ,9196466,"MACKENZIE, TIPPI ",Not Applicable,11,SURGERY,94878337,KMH5K9V7S518,94878337,KMH5K9V7S518,US,37.767442,-122.413937,577508,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",SAN FRANCISCO,CA,SCHOOLS OF MEDICINE,941432510,UNITED STATES,N,1/1/2022,12/31/2022, ,839,Non-SBIR/STTR,2022,723621, ,NHLBI,622401,101220, ,723621
Clinical Research; Cooley's Anemia; Hematology; Rare Diseases; Sickle Cell Disease,Enhancers;Fetal Hemoglobin;Genes;Hemoglobinopathies;Patients;Therapeutic,Therapeutic BCL11A enhancer gene editing to induce fetal hemoglobin in -hemoglobinopathy patients,n/a,NHLBI,10317505,3/12/2021,OTA-19-005,3OT2HL154984-01S1,3,OT2,HL,154984,1,S1,"WELNIAK, LISBETH A",6/18/2020,11/30/2022,ZHL1-SRC(99), ,10124304,"BAUER, DANIEL EVAN",Not Applicable,7,Unavailable,76593722,Z1L9F1MM1RY3,76593722,Z1L9F1MM1RY3,US,42.337481,-71.104964,1504801,BOSTON CHILDREN'S HOSPITAL,BOSTON,MA,Independent Hospitals,21155724,UNITED STATES,N,6/18/2020,11/30/2022, ,839,Other,2021,886788, ,NHLBI,886788,0, ,886788
